keyword,cluster,product_relevance,wordstat_broad,frequency_type,demand_scope,source_seed,region,device,collected_at,source_url
гороскоп весы женщина,horoscope,RELEVANT,38143,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп по датам,horoscope,RELEVANT,38078,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп по рождению,horoscope,RELEVANT,37803,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
натальная карта онлайн бесплатно,natal,RELEVANT,37705,broad,Yandex external demand proxy,натальная карта,Россия,Смартфоны,2026-07-29T18:50:57.081Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BA%D0%B0%D1%80%D1%82%D0%B0
гороскоп на сегодня мужчины точный,horoscope,RELEVANT,37621,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп дева мужчина,horoscope,RELEVANT,37256,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп львов мужчин,horoscope,RELEVANT,37104,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп лев мужчина,horoscope,RELEVANT,36651,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп женщина самый точный,horoscope,RELEVANT,36326,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
июль гороскоп знак,horoscope,RELEVANT,36107,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
